dataset,model,model_family,tuned,split,fold_id,test_cell,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,Trend_Prior_l1,baseline,False,validation,test_B0018,B0018,0.006898157985403452,0.004287658393316637,0.5497383906154053,0.9941079837996188,7.080379873514175e-07,1.0059889534424091e-05,99404670.05905826,0.0,0.0
NASA,Trend_Prior_l1,baseline,False,test,test_B0018,B0018,0.011891159967455253,0.007451770855064445,0.9671230788776674,0.9660127037319376,7.080379873514175e-07,1.0059889534424091e-05,99404670.05905826,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,validation,test_B0018,B0018,0.00860737340387769,0.005652913813465767,0.7244642482676091,0.9908264180105417,3.748573362827301e-07,0.01260344790102079,79343.36761284244,0.0,0.0
NASA,Trend_Prior_l2,baseline,False,test,test_B0018,B0018,0.015291338878925084,0.010537294917573329,1.3769780464379087,0.9437970385254366,3.748573362827301e-07,0.01260344790102079,79343.36761284244,0.0,0.0
NASA,LSTM,LSTM,False,validation,test_B0018,B0018,0.02142080252981122,0.015845881946022256,1.9945912077562689,0.943184198930085,0.13618937507271767,0.020254311023344254,49372.20519855959,28657.0,0.10931777954101562
NASA,LSTM,LSTM,False,test,test_B0018,B0018,0.029347857879875212,0.023736527938067617,3.052980481189827,0.7929758602181269,0.13618937507271767,0.020254311023344254,49372.20519855959,28657.0,0.10931777954101562
NASA,GRU,GRU,False,validation,test_B0018,B0018,0.011464391040863617,0.008769371172939239,1.1114059017390077,0.9837258002878184,0.11959287500940263,0.014959766272583911,66845.96415337417,21505.0,0.08203506469726562
NASA,GRU,GRU,False,test,test_B0018,B0018,0.014200707100744244,0.010674787163993853,1.3859308437350422,0.9515283153577075,0.11959287500940263,0.014959766272583911,66845.96415337417,21505.0,0.08203506469726562
NASA,Transformer,Transformer,False,validation,test_B0018,B0018,0.01198684321794597,0.009076399387348812,1.163652958192855,0.9822087153124566,0.08467324986122549,0.019855241307282244,50364.53521384468,12801.0,0.048831939697265625
NASA,Transformer,Transformer,False,test,test_B0018,B0018,0.01446505508954487,0.010771026267768609,1.4067815295588517,0.9497069055179906,0.08467324986122549,0.019855241307282244,50364.53521384468,12801.0,0.048831939697265625
NASA,DNN,DNN,False,validation,test_B0018,B0018,0.01735679903500064,0.013647368677972312,1.7730351391910302,0.9626975867409231,0.00800937507301569,0.0004899399033908186,2041066.6554798111,5313.0,0.020267486572265625
NASA,DNN,DNN,False,test,test_B0018,B0018,0.02039041474759734,0.015379862777018959,2.0356927724840346,0.9000643841147621,0.00800937507301569,0.0004899399033908186,2041066.6554798111,5313.0,0.020267486572265625
NASA,CNN1D,1D-CNN,False,validation,test_B0018,B0018,0.027833436714785692,0.02166758790126579,2.8729439746087233,0.9040751062524561,0.09218379086814821,0.017810705246339584,56146.00804229904,12065.0,0.046024322509765625
NASA,CNN1D,1D-CNN,False,test,test_B0018,B0018,0.031156057729181612,0.02560705107533175,3.4440040605690148,0.7666793520001728,0.09218379086814821,0.017810705246339584,56146.00804229904,12065.0,0.046024322509765625
NASA,XGBoost,XGBoost,False,validation,test_B0018,B0018,0.009393479076854198,0.006552630583420313,0.8509060035639195,0.9890742664801639,0.01670645782724023,0.0008128619560136877,1230221.1865149229,0.0,0.0
NASA,XGBoost,XGBoost,False,test,test_B0018,B0018,0.012420208422703362,0.0077474558541797255,1.0212450497855783,0.9629211768367757,0.01670645782724023,0.0008128619560136877,1230221.1865149229,0.0,0.0
